id,Promote1r,Promote2,Promote3,Promote4r,Promote5,Promote6r,Prevent1r,Prevent2r,Prevent3,Prevent4r,Prevent5r,Identities_1_TEXT,Identities_2_TEXT,RFApro2,RFApro3,RFApro4,RFApro5,RFApre1,RFApre2,RFApre3,RFApre5,RFBpro2,RFBpro3,RFBpro4,RFBpro5,RFBpre1,RFBpre2,RFBpre3,RFBpre5,Integrate,Age,Gender
104,4,5,5,4,4,1,5,5,4,5,5,girlfriend,african american,7,3,7,7,6,7,7,7,1,7,7,7,1,7,7,7,6,43,2
105,5,4,5,1,5,2,5,5,2,5,4,boyfriend,gamer,7,6,7,5,5,7,7,6,7,5,7,5,6,7,7,7,2,29,1
106,4,4,3,5,3,4,2,2,4,4,4,student,friend,5,5,5,5,6,5,6,6,2,5,3,6,7,6,5,6,4,22,1
107,2,5,4,4,4,4,2,2,4,2,2,Girlfriend,Sister,7,6,6,7,5,6,6,6,6,7,7,6,5,7,7,6,5,19,2
108,5,3,3,5,3,1,2,2,4,3,3,Kantian,social democrat,5,6,4,3,5,6,6,6,5,6,5,4,5,6,6,6,6,23,1
109,1,4,5,1,4,1,1,2,4,1,1,Atheist,Veteran,6,6,7,4,1,1,7,4,5,6,4,4,1,1,6,6,6,63,1
110,4,4,4,4,4,4,4,2,4,3,5,bartender,girlfriend,6,6,7,5,5,6,6,5,7,7,7,7,1,7,7,7,4,21,2
111,2,2,4,4,3,2,1,1,5,1,3,American,Swimmer,4,4,6,3,3,3,NA,4,4,3,5,3,3,3,3,3,5,29,1
112,4,5,4,3,4,4,4,4,4,4,5,indian,korean music lover,2,1,5,6,2,6,6,5,7,6,6,6,7,7,6,5,2,22,2
113,2,4,4,3,4,2,3,4,4,3,5,engineer,athlete,6,6,5,6,5,6,6,5,6,5,6,5,3,6,5,5,4,22,1
114,3,3,3,3,4,3,3,3,1,4,3,DJ,musician,6,5,6,7,5,7,5,5,5,6,6,5,6,5,6,5,6,23,1
115,4,2,2,4,3,2,3,3,2,4,5,me as a student,me as an employee,3,4,3,5,4,3,5,3,4,5,4,5,3,5,4,5,4,23,2
116,4,4,5,4,3,5,3,3,4,2,4,an athlete,man,6,6,5,3,6,3,5,6,5,6,6,5,4,4,4,6,5,23,1
117,2,4,4,2,4,2,4,2,4,4,4,boyfriend,swimmer,6,7,6,5,2,6,6,6,7,6,5,6,3,5,6,6,4,27,1
118,2,5,5,2,4,2,4,4,3,4,2,a Christian,white American,5,7,6,6,5,6,6,7,5,3,6,5,2,NA,5,5,6,60,2
119,4,4,4,4,2,4,2,4,3,4,2,woman,free spirit,6,6,6,6,2,5,6,6,5,5,5,5,4,4,5,5,5,20,2
120,2,4,4,2,4,2,2,3,4,2,4,landscaper,naturalist,5,5,6,5,4,5,5,5,6,6,6,6,5,5,6,6,6,34,1
121,1,4,3,2,3,2,2,1,4,2,2,me as a person,me as a daughter,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,21,2
122,2,4,2,4,4,2,4,4,2,3,4,student,brother,6,6,6,5,5,3,5,6,5,5,5,6,2,3,5,6,3,22,1
123,4,4,4,2,4,4,5,4,4,4,5,mom,wife,7,6,6,3,6,6,6,7,3,5,5,5,6,6,6,5,4,29,2
124,2,4,5,2,4,2,4,4,5,4,2,son,dart player,6,5,6,6,4,6,6,5,6,7,6,5,6,7,6,6,4,34,1
125,4,4,4,4,4,2,2,2,4,4,2,woman,girlfriend,5,3,5,5,5,5,5,5,5,6,7,6,3,3,5,6,6,25,2
126,2,4,4,2,4,3,1,2,4,2,3,engineer,daughter,5,6,6,5,6,5,6,6,4,4,5,5,6,6,5,6,4,26,2
127,4,4,4,2,4,2,4,4,4,4,4,husband,father,6,5,6,6,5,5,6,6,6,6,6,6,5,6,6,6,5,41,1
128,2,4,4,4,3,4,3,2,4,3,2,me as a father,me as a husband,6,6,6,4,5,4,7,6,5,4,5,4,4,2,5,6,6,40,1
129,2,4,4,4,4,2,3,2,2,2,4,Asian,Athlete,2,2,3,3,5,2,5,3,7,7,NA,5,6,7,6,5,3,20,1
130,4,4,4,4,4,2,2,2,5,2,2,student,son,7,6,5,6,7,6,6,7,6,5,4,6,2,4,7,7,5,22,1
131,4,4,4,4,2,3,2,3,4,2,3,husband,brother,4,5,3,6,2,3,2,4,5,7,2,6,6,7,3,4,5,27,1
132,2,4,5,2,4,2,4,2,4,1,4,student,boyfriend,5,6,6,6,6,7,6,7,4,2,5,5,2,2,2,3,4,25,1
133,4,4,4,3,2,2,2,4,4,2,4,wife,runner,3,3,6,6,5,6,7,6,6,3,2,6,3,5,6,4,4,30,2
134,4,4,4,4,4,2,2,2,5,4,4,Father,Atheist,6,6,6,6,6,6,7,7,2,2,6,6,2,1,1,2,3,47,1
135,4,4,4,3,4,3,2,5,3,4,5,daughter,good student,7,5,2,3,6,5,5,3,7,4,7,7,7,4,6,5,5,27,2
136,2,4,4,3,4,2,2,2,4,4,2,father,tester,6,5,6,6,5,5,6,7,6,5,5,6,5,6,5,5,5,30,1
137,2,2,4,2,4,4,3,4,5,3,4,Christian,Mother,6,6,6,6,6,6,6,7,4,6,6,6,5,6,6,6,6,33,2
138,2,4,5,2,5,2,4,4,3,4,3,teacher,friend,6,6,7,6,3,5,7,6,6,4,7,6,5,3,6,6,5,27,1
139,4,4,3,3,4,4,3,4,2,2,4,coach ,uncle ,5,3,6,5,4,2,4,4,4,6,7,5,5,6,4,6,2,26,1
140,2,4,4,2,4,2,4,3,4,3,2,boyfriend,worker,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,28,1
141,4,4,4,3,4,2,2,1,3,2,2,artist,wanderer,6,5,5,4,3,3,5,5,5,5,5,5,5,6,6,5,4,29,1
142,2,4,4,2,4,4,4,4,5,5,4,Fiance,dog owner,6,5,7,6,5,7,6,6,7,5,7,7,5,6,6,7,6,25,1
143,4,4,2,5,2,2,5,NA,3,5,5,gamer,human,6,4,4,2,3,3,2,2,5,2,2,5,7,3,2,2,6,23,1
144,2,4,5,2,4,2,1,2,5,1,2,wife,mom,5,5,5,3,5,4,5,5,5,6,6,6,6,5,6,6,6,34,2
145,3,3,3,3,3,3,3,3,3,3,3,wiccan,daughter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,2
146,4,3,2,5,1,4,5,4,2,5,5,nerd,poor person,6,5,5,4,2,3,5,5,5,2,2,4,5,3,2,2,4,32,1
147,2,4,4,4,4,4,2,2,4,3,4,Father,Friend,6,6,6,5,6,6,6,6,6,6,7,6,6,6,6,6,5,63,1
148,3,4,2,2,1,2,4,5,4,4,4,weightlifter,Baseball player,3,5,NA,6,4,5,6,6,4,6,5,6,5,6,7,6,5,25,1
149,3,4,4,3,4,4,5,4,4,4,4,husband,student,3,2,5,4,5,2,4,4,5,4,6,5,5,5,4,5,4,34,1
150,2,4,4,2,4,3,4,2,4,4,4,Mother,Wife,6,7,6,5,6,7,7,6,6,6,6,6,5,5,6,6,6,25,2
151,1,4,5,2,5,5,3,2,5,4,4,student,father,7,7,7,7,6,7,6,7,4,6,5,NA,7,7,7,6,2,18,1
152,5,1,4,5,1,4,2,4,4,1,2,mother,sister,6,6,5,6,7,7,6,7,6,6,3,5,7,6,6,6,6,42,2
153,4,3,2,3,2,4,2,1,1,1,3,wife,mother,1,1,3,1,1,1,2,1,1,1,4,1,5,1,2,1,4,39,2
154,3,3,3,3,3,3,2,2,3,4,3,Artist,Mystic,4,5,4,5,3,4,4,4,4,5,4,4,4,4,4,5,4,50,1
155,2,3,5,2,4,3,2,4,4,4,4,Student,Detective,6,6,6,5,5,6,5,5,5,6,6,6,2,6,6,6,5,26,1
156,2,4,3,4,4,2,2,2,4,2,3,girlfriend,librarian,5,4,6,4,5,6,5,5,6,7,6,6,6,6,6,6,4,28,2
157,3,4,5,5,4,5,5,5,1,5,5,mom,wife,4,7,1,7,7,7,7,7,6,6,7,7,4,4,7,7,5,43,2
158,4,5,5,4,3,3,2,2,4,4,4,brother,lover,6,4,7,5,2,3,6,4,7,6,3,6,7,6,5,6,3,24,1
159,1,5,4,2,5,1,4,2,4,4,4,wife,artist,7,7,7,6,5,3,7,7,7,7,7,7,1,3,7,7,5,50,2
160,4,5,5,2,5,2,4,2,4,4,4,man,partner,3,7,5,5,6,6,6,5,5,5,5,7,7,6,6,6,5,25,1
161,4,2,2,4,4,4,1,1,5,4,4,Christian,Nerd,6,6,6,6,6,5,NA,7,2,5,5,7,2,6,5,6,5,30,1
162,4,5,3,3,3,2,4,3,3,4,4,musician,atheist,6,5,6,5,2,4,6,3,3,3,4,4,1,4,5,3,5,23,1
163,2,4,4,2,2,2,4,4,4,4,4,son,brother,6,7,3,5,6,5,5,7,6,7,5,6,5,6,6,7,5,24,1
164,3,4,4,3,3,2,4,4,3,4,4,Musician,Guitarist,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,20,1
165,4,4,3,4,2,3,2,2,4,2,4,woman,lesbian,4,5,4,5,2,5,6,6,4,5,4,4,5,5,5,6,6,30,2
166,1,NA,5,4,5,2,1,3,4,3,3,Christian,fisherman ,5,4,6,7,1,4,5,6,7,4,6,6,1,4,4,7,6,18,1
167,1,4,4,4,4,2,NA,2,4,4,2,Father,Boyfriend ,6,6,6,6,6,6,7,6,6,5,5,5,6,6,6,6,5,36,1
168,1,5,5,3,3,1,4,1,5,3,4,Child of God,Musician,7,1,1,1,1,4,4,1,7,6,7,5,5,5,6,1,6,28,1
169,4,2,4,4,1,4,4,3,3,4,5,mother,wife,6,7,6,6,6,6,7,7,6,5,6,6,7,6,6,6,6,28,2
170,2,4,4,2,4,5,4,4,2,4,3,IT professional,wife,6,6,5,5,5,6,6,6,5,6,5,6,3,6,7,5,4,34,2
171,5,5,4,2,4,4,4,2,4,2,4,student,home owner,6,6,6,7,7,6,6,6,6,6,6,7,6,7,5,6,4,25,1
172,2,4,4,4,4,2,3,3,3,3,4,Photographer,Mom,5,5,5,6,4,5,5,7,3,4,5,3,5,4,5,6,5,44,2
173,1,5,5,3,5,1,4,5,4,5,4,green,mother,5,6,5,4,3,4,6,5,7,7,7,7,5,7,7,7,5,73,2
174,2,4,3,4,4,4,1,1,1,2,4,employee,friend,5,6,6,5,6,5,6,6,4,6,5,5,3,3,6,6,5,42,2
175,4,5,4,5,3,4,3,2,4,2,4,asian american,event planner,5,5,6,6,3,3,6,6,6,6,6,6,6,7,6,6,4,36,2
176,4,3,3,4,3,1,2,3,4,1,2,friend,son,4,3,4,2,5,3,5,2,5,4,4,5,6,6,6,5,4,22,1
177,3,2,4,4,4,3,4,4,4,4,3,as a churchgoer,as a rockstar,5,6,5,5,5,4,6,6,5,6,4,6,6,5,4,5,4,23,1
178,1,4,4,3,5,3,2,1,5,2,2,teacher,friend,6,6,7,6,2,6,7,7,6,6,7,6,2,5,6,6,5,48,1
179,2,4,4,2,5,2,4,4,4,5,3,Hard worker.,Me as a brother.,5,6,6,6,2,5,6,7,6,6,7,6,5,2,3,5,4,21,1
180,4,3,3,4,3,4,4,5,4,3,4,Catholic,american,5,5,5,4,3,5,6,5,6,4,4,4,2,4,5,4,4,45,2
181,4,4,3,4,2,3,3,3,4,4,3,Christian,Man,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,6,30,1
182,4,4,4,4,4,1,2,1,3,2,3,smart person,woman,5,5,4,5,3,4,5,6,5,6,5,5,4,5,5,5,6,38,2
183,2,3,3,4,3,1,4,2,4,2,4,mother,nerd,7,7,7,5,6,6,6,4,3,2,2,2,2,3,2,4,4,33,2
184,3,4,5,1,4,2,4,4,4,4,4,human being,intellectual,NA,7,6,7,5,5,6,7,7,7,6,7,7,7,7,7,5,30,1
185,2,4,4,2,4,2,4,4,2,4,4,girlfriend,mother,6,6,6,5,2,5,6,6,5,5,5,5,5,6,6,5,3,36,2
186,2,5,5,4,5,5,3,4,4,4,4,male,brother,6,5,5,5,5,6,6,7,5,5,5,4,6,4,4,4,6,26,1
187,2,4,4,4,4,1,1,1,5,1,4,grandaughter,gamer,6,6,5,5,5,6,7,7,7,6,5,5,7,6,6,6,4,26,2
188,NA,5,4,4,4,2,1,4,5,2,5,as a wife,as a performer,5,6,5,NA,6,NA,6,6,7,7,6,6,7,7,7,6,5,32,2
189,3,2,2,4,2,5,1,4,4,4,2,mother,friend,4,3,3,3,6,5,4,2,4,4,5,2,3,5,6,5,4,66,2
190,4,4,4,4,3,2,4,3,4,4,3,student,caregiver,6,2,7,2,6,5,6,2,5,5,5,4,7,6,5,5,3,37,2
191,2,4,5,4,3,5,4,5,3,4,4,sewer,beach bum,7,6,7,6,6,3,6,6,7,7,6,7,2,2,NA,7,2,38,2
192,2,2,5,4,4,2,4,5,5,4,4,queer,midwesterner,3,2,4,3,5,2,2,2,4,6,6,5,6,5,6,6,2,28,2
193,1,4,4,2,5,5,4,4,3,4,4,father,fisherman,5,5,7,6,6,5,6,4,5,4,6,6,5,4,5,6,6,64,1
