"id","cond","rfapro2","rfapro3","rfapro4","rfapro5","rfapre1","rfapre2","rfapre3","rfapre5","rfbpro2","rfbpro3","rfbpro4","rfbpro5","rfbpre1","rfbpre2","rfbpre3","rfbpre5","RFQpro1r","RFQpre1r","RFQpro2","RFQpre2r","RFQpre3","RFQpre4r","RFQpro3","RFQpre5r","RFQpro4r","RFQpro5","RFQpro6r","strategies_1_TEXT","strategies_2_TEXT","strategies_3_TEXT","strategies_4_TEXT","strategies_5_TEXT","strategies_6_TEXT","strategies_7_TEXT","strategies_8_TEXT","strategies_9_TEXT","strategies_10_TEXT","ideal","growth","idealself","attain","eager","pursueopp","desirable","ought","security","oughtself","maintain","cautious","vigilant","missopp","mistake","feasible","happy","disappoint","satis","low","sad","discourage","tense","agit","calm","onedge","uneasy","relax","stratpro1_1","stratpro1_2","stratpro1_3","stratpro1_4","stratpro1_5","stratpro1_6","stratpro1_7","stratpro1_8","stratpro1_9","stratpro1_10","stratpre1_1","stratpre1_2","stratpre1_3","stratpre1_4","stratpre1_5","stratpre1_6","stratpre1_7","stratpre1_8","stratpre1_9","stratpre1_10","stratpro2_1","stratpro2_2","stratpro2_3","stratpro2_4","stratpro2_5","stratpro2_6","stratpro2_7","stratpro2_8","stratpro2_9","stratpro2_10","stratpre2_1","stratpre2_2","stratpre2_3","stratpre2_4","stratpre2_5","stratpre2_6","stratpre2_7","stratpre2_8","stratpre2_9","stratpre2_10","strat.feas_1","strat.feas_2","strat.feas_3","strat.feas_4","strat.feas_5","strat.feas_6","strat.feas_7","strat.feas_8","strat.feas_9","strat.feas_10","counter1_1_TEXT","counter1_2_TEXT","counter1_3_TEXT","counter1_4_TEXT","counter1_5_TEXT","counter1_6_TEXT","counter1_7_TEXT","counter1_8_TEXT","counter1_9_TEXT","counter1_10_TEXT","counter2_1","counter2_2","counter2_3","counter2_4","counter2_5","counter2_6","counter2_7","counter2_8","counter2_9","counter2_10","age","gender"
11,"1",6,5,5,6,6,6,5,5,5,5,5,6,5,3,5,5,2,5,4,4,2,4,4,4,4,4,4,"Not asking questions","Not asking for help","Not talking to other students","Not changing answers","","","","","","",2,1,2,3,3,1,1,2,4,1,2,4,3,4,4,5,3,8,7,2,2,4,1,1,7,7,6,5,1,2,1,3,NA,NA,NA,NA,NA,NA,2,3,3,4,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,3,2,3,NA,NA,NA,NA,NA,NA,2,4,6,6,NA,NA,NA,NA,NA,NA,"had paid attention in class.","had chosen a different major.","had focused more in my calculus classes earlier in my education.","","","","","",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,22,2
12,"2",5,5,5,5,3,5,6,5,5,4,3,5,5,5,5,5,2,4,4,2,2,4,4,4,2,4,2,"be careful","be thorough","use caution","check everything","check throughout and after","","","","","",4,3,2,3,3,3,2,3,4,2,4,3,3,2,3,3,1,6,1,4,4,5,3,4,2,3,4,2,3,4,2,3,3,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,3,3,2,2,2,NA,NA,NA,NA,NA,3,2,3,3,2,NA,NA,NA,NA,NA,7,7,6,5,4,NA,NA,NA,NA,NA,"hadn't broken my phone","hadn't balanced the phone like that","","","","","","",NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,19,2
13,"2",5,4,5,6,6,7,7,7,3,6,5,6,3,5,4,3,2,3,4,3,4,3,4,5,4,4,5,"Be patient","Tolerate things I don't like more ","Ignore things I don't like but not be too obvious","Talk less sometimes if talking if not that necessary","Communicate more with family and friends ","Use words carefully ","Smile more ","Tell myselft that I also want to be respected by others ","","",4,4,4,5,4,3,4,5,3,4,5,3,3,4,3,4,1,7,1,9,7,3,9,8,2,5,6,2,5,4,4,5,5,3,3,5,NA,NA,5,3,3,3,5,4,3,3,NA,NA,4,5,5,4,4,4,3,3,NA,NA,4,3,3,3,5,3,4,4,NA,NA,6,4,4,2,3,2,1,2,NA,NA,"understood my parents better","were okay with going another day","weren't too stubborn ","could think about a compromise ","come up with an alternative that makes everyone better off ","didn't look angry and speak angrily","didn't develop the argument ","didn't mention things unrelated to that dinner ",NA,NA,2,2,1,2,2,1,2,2,NA,NA,21,2
345,"1",7,7,7,7,6,5,7,7,6,6,7,6,6,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"taking into consideration my parents' feelings","making sure I am self-driven so that they don't have to worry about me","independence","","","","","","","",3,4,2,5,4,2,3,4,4,4,5,4,2,3,3,4,1,9,1,8,7,3,8,4,4,9,9,2,5,5,4,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,6,5,5,NA,NA,NA,NA,NA,NA,NA,"didn't let that big group of people, which I didn't know, into my room.","didn't have a pre-game in the first place.","had done this in someone else's room with the big group so I wouldn't have gotten caught and carded. ","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,18,2
346,"2",6,6,5,5,6,6,6,6,1,2,4,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Make silly voices","Find the humor or stupidity in bad situations ","Inject humor into advice, bringing it down to reality ","","","","","","","",4,3,3,2,3,2,2,3,4,3,2,1,1,1,1,1,3,4,2,3,2,5,3,4,6,2,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,5,3,5,NA,NA,NA,NA,NA,NA,NA,"had not tried humor as a strategy","had talked to him seriously from the beginning","","","","","","",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,20,1
349,"2",2,2,2,2,2,2,2,2,5,6,5,6,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"being honest with my friends","supporting their decisions","loving them unconditionally","not talking about them behind their backs","having high expectations for them ","telling them it's ok when they make mistakes","listening to their problems","giving them honest advice","looking out for their best interests","controlling my jealousy",5,5,5,5,4,4,1,5,5,5,5,1,2,1,2,2,1,4,1,9,9,5,8,9,1,9,9,1,4,4,5,4,5,5,5,5,5,4,1,2,1,3,1,1,2,1,1,3,5,5,5,5,3,3,4,5,5,5,4,5,5,5,3,5,5,5,5,5,2,5,7,1,7,3,2,1,7,6,"didn't have anxiety.","had said to Molly that I knew I could not understand she was going through.","had my phone.","felt better about myself.","knew what to say to Molly.","","","",NA,NA,1,1,2,1,1,NA,NA,NA,NA,NA,19,2
351,"2",6,6,6,5,6,4,5,5,3,4,5,2,2,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providing emotional support","Returning texts/phone calls when a friend needs me","Being a good listener","Making time for my friends","Making sure my friendships are a priority in my life","","","","","",5,5,5,3,5,4,4,4,4,3,5,3,4,4,4,4,1,8,2,7,7,7,7,6,2,8,8,2,5,4,4,4,5,NA,NA,NA,NA,NA,3,4,3,3,3,NA,NA,NA,NA,NA,5,2,4,3,4,NA,NA,NA,NA,NA,4,3,3,3,4,NA,NA,NA,NA,NA,6,1,4,4,6,NA,NA,NA,NA,NA,"Would have put in the time to call them up","Could have been living closer to them so we could spend more time together","had been better about responding to their desires to talk to me ","","","","","",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,19,2
361,"1",7,7,7,7,7,6,5,7,5,5,6,6,7,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time management","discipline","motivation","organization","","","","","","",5,5,4,5,4,3,4,5,5,4,5,4,4,4,5,5,1,7,2,9,8,9,8,8,2,8,8,1,4,3,4,4,NA,NA,NA,NA,NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,5,5,5,4,NA,NA,NA,NA,NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,3,7,5,3,NA,NA,NA,NA,NA,NA,"didn't spend so much effort worrying","did more practice problems","was more focussed","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,18,2
366,"1",5,4,5,4,2,5,4,5,5,4,5,4,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"make jokes","listen","always be ""there""","suggest fun things to do","Be weird","do crazy shit","","","","",5,4,5,3,5,5,2,5,5,5,4,4,1,2,3,3,8,6,5,1,1,2,2,1,2,1,3,4,5,5,5,5,3,3,NA,NA,NA,NA,4,5,5,4,2,2,NA,NA,NA,NA,5,5,5,5,5,5,NA,NA,NA,NA,4,5,5,5,4,2,NA,NA,NA,NA,7,2,2,7,1,5,NA,NA,NA,NA,"didn't drink as much","spent more time with him","hooked up with the girl another night","was a better friend","didn't believe that what I was doing was okay","","","",NA,NA,2,1,2,1,2,NA,NA,NA,NA,NA,18,1
370,"2",6,7,6,6,5,3,6,6,7,7,5,7,7,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reflective listening","asking questions about things they are interested in","remembering birthdays","making an effort to see them ","keeping their trust","","","","","",4,3,4,4,4,3,2,4,3,4,4,2,1,1,2,2,1,7,1,9,7,6,4,2,5,1,7,5,4,4,3,4,4,NA,NA,NA,NA,NA,2,2,2,1,2,NA,NA,NA,NA,NA,3,4,1,3,4,NA,NA,NA,NA,NA,1,1,1,1,3,NA,NA,NA,NA,NA,4,6,1,5,6,NA,NA,NA,NA,NA,"had communicated well ahead of time.","had toughed it out","had more energy","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,20,1
373,"1",7,5,5,5,2,4,5,5,5,6,5,4,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simply being alone in my room or a practice room when trying to write.","Trying to add unique aspects to my music to make it my own.","Completing music projects with little no help.","","","","","","","",4,5,5,5,4,3,4,3,4,4,4,3,4,5,5,3,1,6,1,1,2,2,3,2,4,1,1,1,5,5,4,NA,NA,NA,NA,NA,NA,NA,2,4,3,NA,NA,NA,NA,NA,NA,NA,1,5,3,NA,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,"worked alone.","tried only working with one other composer instead of 2.","had taken more time.","tried to accept their ideas more.","had pushed my ideas further.","","","",NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,18,1
374,"2",5,3,5,4,5,5,5,3,5,6,7,7,3,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Consider other people's opinions","Think about the consequences of my actions","Put the house's best interests ahead of my own","","","","","","","",5,5,5,4,3,2,3,5,3,4,4,3,3,2,2,2,1,7,3,6,4,4,7,9,2,7,6,1,4,3,5,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,3,5,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,4,2,6,NA,NA,NA,NA,NA,NA,NA,"had not taken the game so seriously","had not said anything and kept my frustration to myself","could take the joke in a tense situation","","","","","",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,18,1
375,"2",4,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I always try to listen and help my friend in any way possible","I spend time with them doing activities that we both enjoy","I think about the ways in which my friend has helped me","","","","","","","",5,4,4,5,4,3,5,5,4,4,4,2,3,2,2,4,3,5,2,3,3,3,4,8,2,7,7,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,2,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,5,NA,NA,NA,NA,NA,NA,NA,7,5,6,NA,NA,NA,NA,NA,NA,NA,"had talked to my friend about how he was making me feel","had taken a break from hanging out with this friend","","","","","","",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,19,1
379,"2",7,7,7,7,2,2,7,7,7,6,6,4,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Think about the broader topic of the project","Narrow it down to things that would be applicable to the project","or start from scratch with improvisation and not thinking much about the outcome yet","","","","","","","",5,4,5,5,5,5,5,5,3,4,5,3,3,4,2,4,1,6,1,3,5,5,2,2,8,1,1,7,3,4,5,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,7,5,7,NA,NA,NA,NA,NA,NA,NA,"knew what the interview/conversation was going to be like so I could prepare more","thought about possible answers to possible questions they could ask","","","","","","",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,19,2
384,"2",6,6,6,4,6,6,6,6,6,6,6,7,5,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Write down goals for the next couple of months","Ask residents what they are hoping to achieve in the next couple of years","Talking to co workers and supervisors about overall goal of on campus living","","","","","","","",4,5,5,4,5,4,4,3,3,3,3,3,3,3,3,2,3,3,4,4,1,2,2,2,5,4,2,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,5,4,4,NA,NA,NA,NA,NA,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,2,4,5,NA,NA,NA,NA,NA,NA,NA,"listened to my residents more thoroughly. ","paid more attention to what my residents wanted. ","gathered more feedback earlier in the quarter. ","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,21,1
389,"2",6,6,6,6,6,6,6,6,4,5,5,4,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Become aware of my obligations, both social and religious","Mutual Respect and forgiveness between all family members","Obedience to the authority of my parents","Imitating good example and taking advice from those with life experience","Praying according to my religion for the intentions of my family","Ensuring family bonds are strengthened, often as a result of religious observances. ","Giving both praise to siblings and reprehending them for faults, when called for","","","",4,5,5,4,4,4,4,5,4,5,4,3,3,3,3,3,2,8,1,6,8,8,6,9,1,5,7,1,5,4,4,4,4,5,3,NA,NA,NA,5,5,5,2,3,3,3,NA,NA,NA,3,5,4,4,4,4,2,NA,NA,NA,3,4,4,4,3,4,2,NA,NA,NA,1,7,2,5,1,3,2,NA,NA,NA,"hadn't followed my mother and brothers into Protestantism","had made my sincerity more clear","had had the courage to look into why my planned actions would be considered inappropriate later. ","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,19,1
391,"1",6,5,5,4,3,NA,4,7,6,7,6,7,7,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Preparing for all classes by doing multiple readings of the assigned texts","Creating study/concept guides","Creating a work schedule with a reward system for meeting goals.","Prioritizing education and mental health over social activity","","","","","","",5,4,4,5,5,5,5,5,3,5,3,2,1,4,5,3,1,9,2,9,9,2,9,6,1,5,6,2,4,2,3,5,NA,NA,NA,NA,NA,NA,5,3,2,2,NA,NA,NA,NA,NA,NA,5,4,3,2,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,1,4,1,7,NA,NA,NA,NA,NA,NA,"had read over the material a few more times.","had discussed the material with peers before the class met.","had emailed the professor ahead of time.","made sacrifices in other areas to have the time I needed to learn well.","didn't let my emotions get a hold of me.","","","",NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA,19,1
411,"2",7,7,3,7,7,7,7,7,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accepting others into the conversation","Listening to all points fairly","Not showing bias toward anyone","Paying equal attention to every opinion`","Not judging based on any physical factor","","","","","",5,4,4,4,3,4,4,5,3,4,5,2,3,2,4,3,2,5,2,8,6,3,7,7,5,7,7,3,4,4,5,3,3,NA,NA,NA,NA,NA,4,5,5,4,3,NA,NA,NA,NA,NA,4,4,3,3,3,NA,NA,NA,NA,NA,3,3,4,4,3,NA,NA,NA,NA,NA,1,3,2,4,4,NA,NA,NA,NA,NA,"had found a better way to excuse myself","had considered other situations where I didn't get a negative impression","didn't assume what other people said to be true","listened to what she had to say first","had changed the topic of conversation","","","",NA,NA,2,1,2,1,2,NA,NA,NA,NA,NA,18,2
413,"1",7,4,6,6,5,1,5,4,7,7,7,7,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Speak openly","Convey all the relevant information","Pray about it","Remind myself that honesty is best for me, the other person, and our friendship","","","","","","",5,4,4,4,2,4,5,5,4,4,3,4,3,2,3,2,1,9,2,8,7,9,9,2,1,9,9,1,4,5,5,4,NA,NA,NA,NA,NA,NA,4,5,5,4,NA,NA,NA,NA,NA,NA,4,3,3,5,NA,NA,NA,NA,NA,NA,5,4,4,4,NA,NA,NA,NA,NA,NA,5,2,3,2,NA,NA,NA,NA,NA,NA,"had the guts to speak up","didn't keep trying to rationalize and stall bringing up what was on my mind","was convinced that telling the truth would be more beneficial than staying silent","","","","","",NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,22,2
414,"1",4,1,2,1,1,1,1,3,5,5,6,6,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I try to listen carefully to all the details of the situation.","I try not to interrupt or add my own opnions-just my sister's story","Look at all perspectives","Think about my sister's(s') past experiences and if something like this has happened before","Most of all I want to help my sister, but I also want to give her useful advice.","","","","","",4,5,4,4,3,3,3,4,4,3,5,2,4,3,4,4,2,7,1,2,3,7,7,6,4,7,7,1,5,3,5,4,5,NA,NA,NA,NA,NA,1,1,1,2,1,NA,NA,NA,NA,NA,4,5,5,4,5,NA,NA,NA,NA,NA,3,3,5,3,5,NA,NA,NA,NA,NA,1,2,7,3,5,NA,NA,NA,NA,NA,"could have stepped back and been like ""let's start over"". ","had been able to get to the root of the problem instead of just dealing with the ""my grades your grades"" part.","could have kept her calm and stopped her from escalating to being upset. ","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,19,2
